"'Location","'Year","'Sex","'Area","'0-4","'5-9","'10-14","'15-19","'20-24","'25-29","'30-34","'35-39","'40-44","'45-49","'50-54","'55-59","'60-64","'65-69","'70-74","'75-79","'80+","'Total"
"Indonesia","2000","Male","Rural","6,645","6,802","6,835","6,620","5,762","5,244","4,773","4,130","3,434","2,691","2,020","1,812","1,570","1,199","813","445","282","61,075"
"Indonesia","2005","Male","Rural","6,678","6,723","6,644","6,159","5,293","5,123","4,731","4,313","3,770","3,122","2,506","2,057","1,555","1,198","839","458","365","61,533"
"Indonesia","2010","Male","Rural","7,016","6,772","6,351","5,453","4,674","4,983","4,646","4,417","4,006","3,473","2,911","2,227","1,518","1,181","844","466","438","61,377"
"Indonesia","2015","Male","Rural","5,761","6,352","6,101","5,474","4,632","4,271","4,615","4,340","4,117","3,727","3,117","2,595","1,904","1,231","888","540","384","60,049"
"Lao People's Democratic Republic","1980","Male","Rural","259","219","181","146","115","96","72","62","58","52","46","37","29","20","12","7","3","1,414"
"Lao People's Democratic Republic","1985","Male","Rural","289","241","207","167","134","109","88","66","56","53","47","40","32","22","14","7","4","1,578"
"Lao People's Democratic Republic","1990","Male","Rural","336","271","229","191","154","131","104","83","61","52","49","42","35","25","16","9","5","1,793"
"Lao People's Democratic Republic","1995","Male","Rural","376","316","255","207","171","145","119","94","76","57","48","44","36","27","18","10","6","2,005"
"Lao People's Democratic Republic","2000","Male","Rural","349","347","286","219","173","151","122","100","82","68","51","42","37","28","20","11","7","2,093"
"Lao People's Democratic Republic","2005","Male","Rural","301","319","309","238","174","148","122","99","85","72","61","44","36","29","20","12","8","2,076"
"Lao People's Democratic Republic","2010","Male","Rural","328","276","282","252","191","163","131","107","87","76","65","53","38","28","21","13","9","2,117"
"Lao People's Democratic Republic","2015","Male","Rural","321","301","240","222","196","184","145","115","93","77","68","56","46","29","20","13","10","2,136"
"Malaysia","1980","Male","Rural","582","571","540","480","364","298","235","189","184","142","127","102","88","66","50","25","18","4,061"
"Malaysia","1985","Male","Rural","667","599","527","466","415","327","264","214","174","174","130","114","89","70","48","31","20","4,328"
"Malaysia","1990","Male","Rural","676","646","564","463","389","378","317","273","218","177","164","122","104","71","54","31","24","4,671"
"Malaysia","1995","Male","Rural","633","624","602","503","363","323","331","270","242","194","159","144","100","82","54","40","30","4,693"
"Malaysia","2000","Male","Rural","559","569","560","491","351","315","303","283","256","221","184","138","116","78","59","37","30","4,552"
"Malaysia","2005","Male","Rural","455","492","506","471","358","322","281","254","243","217","194","153","126","87","69","46","35","4,310"
"Malaysia","2010","Male","Rural","351","377","400","446","464","408","273","240","231","201","174","143","118","83","69","45","36","4,058"
"Malaysia","2015","Male","Rural","355","302","334","370","411","406","328","229","211","198","171","150","120","96","62","45","39","3,828"
"Myanmar","1980","Male","Rural","2,096","1,807","1,576","1,319","1,137","974","695","590","534","504","464","364","293","200","134","72","39","12,798"
"Myanmar","1985","Male","Rural","2,244","1,981","1,734","1,511","1,280","1,116","950","669","563","515","478","419","321","238","152","83","49","14,303"
"Myanmar","1990","Male","Rural","2,104","2,124","1,895","1,654","1,456","1,247","1,080","910","635","541","487","431","370","261","182","95","58","15,530"
"Myanmar","1995","Male","Rural","1,961","1,990","2,021","1,798","1,588","1,416","1,204","1,034","864","610","512","440","381","302","201","114","67","16,502"
"Myanmar","2000","Male","Rural","1,881","1,851","1,880","1,906","1,724","1,549","1,373","1,155","982","831","578","462","389","312","234","127","81","17,315"
"Myanmar","2005","Male","Rural","1,713","1,755","1,726","1,727","1,743","1,583","1,416","1,252","1,052","916","769","509","402","314","239","146","92","17,355"
"Myanmar","2010","Male","Rural","1,631","1,590","1,620","1,570","1,573","1,611","1,456","1,296","1,144","985","851","680","444","324","242","150","106","17,273"
"Myanmar","2015","Male","Rural","1,555","1,513","1,458","1,476","1,462","1,502","1,529","1,366","1,205","1,090","928","759","601","362","254","153","114","17,326"
"Philippines","1980","Male","Rural","2,544","2,242","2,009","1,744","1,433","1,204","853","695","563","496","357","302","238","196","141","74","42","15,134"
"Philippines","1985","Male","Rural","2,594","2,318","2,051","1,784","1,479","1,249","1,047","750","603","515","430","303","246","186","140","86","48","15,831"
"Philippines","1990","Male","Rural","2,638","2,361","2,106","1,795","1,474","1,267","1,068","910","642","553","443","364","245","192","133","85","56","16,331"
"Philippines","1995","Male","Rural","2,818","2,645","2,356","2,017","1,626","1,403","1,210","1,042","876","663","527","414","323","210","149","87","63","18,429"
"Philippines","2000","Male","Rural","3,021","2,830","2,642","2,259","1,831","1,548","1,341","1,182","1,005","906","631","492","367","277","163","99","67","20,661"
"Philippines","2005","Male","Rural","3,289","3,085","2,874","2,572","2,082","1,769","1,503","1,332","1,161","1,055","878","598","444","319","219","110","76","23,367"
"Philippines","2010","Male","Rural","3,313","3,361","3,134","2,802","2,382","2,015","1,720","1,492","1,309","1,214","1,022","833","540","385","252","148","85","26,007"
"Philippines","2015","Male","Rural","3,509","3,364","3,393","3,059","2,620","2,328","1,973","1,713","1,468","1,364","1,176","969","752","469","306","172","111","28,747"
"Singapore","1980","Male","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","1985","Male","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","1990","Male","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","1995","Male","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","2000","Male","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","2005","Male","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","2010","Male","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Singapore","2015","Male","Rural","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Thailand","1980","Male","Rural","2,439","2,579","2,453","1,926","1,499","1,258","1,020","861","809","696","574","433","316","244","168","103","75","17,456"
"Thailand","1985","Male","Rural","2,269","2,415","2,464","2,172","1,762","1,474","1,263","1,016","844","808","663","557","394","280","196","123","94","18,795"
"Thailand","1990","Male","Rural","2,097","2,223","2,311","2,177","2,034","1,648","1,473","1,259","1,020","866","782","674","547","369","229","148","117","19,972"
"Thailand","1995","Male","Rural","1,973","2,059","2,168","2,100","1,974","1,780","1,615","1,471","1,252","998","804","759","601","469","287","167","134","20,611"
"Thailand","2000","Male","Rural","1,770","1,923","1,982","1,916","1,690","1,667","1,771","1,725","1,593","1,359","1,001","786","683","540","388","222","165","21,183"
"Thailand","2005","Male","Rural","1,504","1,703","1,795","1,788","1,663","1,536","1,563","1,609","1,532","1,443","1,217","885","669","569","424","280","214","20,395"
"Thailand","2010","Male","Rural","1,292","1,430","1,452","1,353","1,162","1,190","1,354","1,465","1,513","1,445","1,283","1,066","761","559","453","310","280","18,368"
"Thailand","2015","Male","Rural","1,025","1,149","1,215","1,117","991","988","1,109","1,271","1,342","1,352","1,247","1,116","892","626","428","325","317","16,511"
"Democratic Republic of Timor-Leste","1980","Male","Rural","34","37","32","29","25","21","17","13","12","9","7","5","3","2","2","1","0","247"
"Democratic Republic of Timor-Leste","1985","Male","Rural","48","32","35","30","27","23","19","15","12","10","7","6","4","2","2","1","0","274"
"Democratic Republic of Timor-Leste","1990","Male","Rural","51","43","31","37","30","24","21","18","14","11","9","6","5","3","2","1","1","306"
"Democratic Republic of Timor-Leste","1995","Male","Rural","61","47","41","30","34","28","23","20","16","13","10","8","5","4","2","1","1","344"
"Democratic Republic of Timor-Leste","2000","Male","Rural","69","56","43","36","20","22","16","13","13","12","9","7","6","4","2","1","1","331"
"Democratic Republic of Timor-Leste","2005","Male","Rural","64","66","54","41","34","20","21","15","12","13","11","8","6","5","3","1","1","375"
"Democratic Republic of Timor-Leste","2010","Male","Rural","67","60","62","48","33","27","14","17","12","10","11","10","7","5","4","2","1","388"
"Democratic Republic of Timor-Leste","2015","Male","Rural","67","62","56","56","40","27","21","11","14","10","9","9","8","5","4","2","1","403"
"Viet Nam","1980","Male","Rural","3,498","3,190","2,842","2,469","2,096","1,582","952","781","762","798","679","612","496","406","267","170","95","21,696"
"Viet Nam","1985","Male","Rural","3,777","3,350","3,100","2,686","2,391","2,028","1,490","921","748","727","780","650","565","435","322","190","144","24,304"
"Viet Nam","1990","Male","Rural","3,949","3,583","3,238","2,935","2,617","2,296","1,947","1,474","898","727","710","740","600","496","347","232","183","26,974"
"Viet Nam","1995","Male","Rural","3,769","3,731","3,467","3,098","2,819","2,393","2,264","1,897","1,406","866","686","649","681","516","390","248","229","29,109"
"Viet Nam","2000","Male","Rural","2,904","3,796","3,726","3,318","2,869","2,602","2,328","2,057","1,722","1,300","780","618","599","582","412","286","265","30,165"
"Viet Nam","2005","Male","Rural","2,662","2,784","3,618","3,512","3,055","2,643","2,442","2,184","1,986","1,638","1,197","691","538","491","447","291","313","30,493"
"Viet Nam","2010","Male","Rural","2,699","2,554","2,665","3,353","3,100","2,807","2,515","2,323","2,149","1,900","1,558","1,128","619","450","393","335","358","30,905"
"Viet Nam","2015","Male","Rural","2,512","2,636","2,526","2,468","3,001","2,911","2,653","2,350","2,219","1,952","1,706","1,437","1,005","525","374","297","406","30,980"
"Western Asia","1980","Male","Rural","4,683","3,919","3,320","2,805","2,246","1,842","1,480","1,224","1,154","1,071","903","680","495","496","335","202","131","26,985"
"Western Asia","1985","Male","Rural","4,813","4,090","3,381","2,773","2,213","1,916","1,627","1,271","1,023","983","952","814","612","414","384","217","156","27,640"
"Western Asia","1990","Male","Rural","4,703","4,245","3,533","2,860","2,355","2,115","1,758","1,423","1,069","907","907","876","721","486","297","234","161","28,652"
"Western Asia","1995","Male","Rural","4,777","4,396","3,931","3,181","2,482","2,280","2,001","1,671","1,369","1,012","897","879","848","647","405","213","206","31,193"
"Western Asia","2000","Male","Rural","4,784","4,493","4,070","3,474","2,821","2,516","2,103","1,819","1,529","1,207","938","820","806","743","511","271","190","33,096"
"Western Asia","2005","Male","Rural","4,689","4,520","4,183","3,653","3,073","2,808","2,346","2,003","1,729","1,406","1,176","888","776","715","586","337","215","35,101"
"Western Asia","2010","Male","Rural","4,715","4,453","4,125","3,744","3,353","3,216","2,796","2,294","1,822","1,551","1,339","1,102","840","681","572","390","271","37,262"
"Western Asia","2015","Male","Rural","4,679","4,448","4,089","3,669","3,285","3,311","3,032","2,634","2,057","1,632","1,454","1,237","1,024","737","554","397","328","38,568"
"Armenia","1980","Male","Rural","67","58","52","60","67","52","33","19","27","20","26","15","8","8","6","4","5","526"
"Armenia","1985","Male","Rural","73","59","49","48","63","65","44","26","14","23","24","29","14","6","5","5","6","554"
"Armenia","1990","Male","Rural","74","66","50","45","51","63","56","37","20","12","27","27","27","10","4","4","6","579"
"Armenia","1995","Male","Rural","60","65","54","41","36","40","49","45","30","16","12","27","24","22","8","3","5","536"
"Armenia","2000","Male","Rural","43","59","63","52","37","31","35","45","40","27","15","10","25","21","17","5","3","528"
"Armenia","2005","Male","Rural","43","45","58","64","51","36","31","34","43","38","23","13","10","21","16","13","6","546"
"Armenia","2010","Male","Rural","46","44","47","59","63","49","36","31","36","42","35","21","12","10","17","13","10","571"
"Armenia","2015","Male","Rural","41","51","49","47","55","56","46","38","36","35","37","29","18","13","10","15","13","588"
"Azerbaijan","1980","Male","Rural","191","174","185","200","168","101","69","44","71","56","51","30","19","19","15","9","13","1,412"
"Azerbaijan","1985","Male","Rural","216","178","165","174","178","140","99","62","38","62","56","57","30","15","14","10","12","1,504"
"Azerbaijan","1990","Male","Rural","251","207","172","172","155","147","126","88","48","45","58","59","51","21","13","10","5","1,627"
"Azerbaijan","1995","Male","Rural","247","244","203","168","166","143","154","124","80","43","44","66","60","41","15","7","6","1,811"
"Azerbaijan","2000","Male","Rural","205","237","234","196","155","156","150","162","129","81","40","38","58","51","32","10","5","1,937"
"Azerbaijan","2005","Male","Rural","174","202","234","227","190","156","153","148","161","119","72","36","31","47","41","20","8","2,020"
"Azerbaijan","2010","Male","Rural","189","169","195","228","221","187","153","148","148","151","112","69","31","28","41","27","16","2,116"
"Azerbaijan","2015","Male","Rural","210","185","166","186","210","210","187","156","144","131","136","96","59","31","25","30","21","2,185"
"Bahrain","1980","Male","Rural","4","3","3","2","4","4","3","2","1","1","1","1","1","0","0","0","0","29"
"Bahrain","1985","Male","Rural","4","3","3","2","2","3","4","3","2","1","1","1","0","0","0","0","0","30"
"Bahrain","1990","Male","Rural","4","3","3","2","3","4","4","4","2","1","1","1","1","0","0","0","0","33"
"Bahrain","1995","Male","Rural","4","4","3","2","3","4","5","4","3","2","1","1","1","0","0","0","0","37"
"Bahrain","2000","Male","Rural","5","5","4","3","4","5","5","4","4","3","1","1","1","0","0","0","0","44"
"Bahrain","2005","Male","Rural","5","6","4","4","7","7","7","6","4","4","2","1","1","0","0","0","0","60"
"Bahrain","2010","Male","Rural","6","6","5","4","7","15","12","10","8","5","5","3","1","1","1","0","0","88"
"Bahrain","2015","Male","Rural","7","6","5","5","7","14","14","8","9","6","4","4","1","1","0","0","0","93"
"Cyprus","1980","Male","Rural","13","11","12","14","16","13","10","8","7","6","6","6","6","5","5","3","3","144"
"Cyprus","1985","Male","Rural","12","10","10","11","13","11","9","8","7","6","5","5","5","5","4","3","3","126"
"Cyprus","1990","Male","Rural","12","12","10","10","12","11","10","9","7","6","6","5","5","5","4","3","3","130"
"Cyprus","1995","Male","Rural","12","12","12","11","12","11","10","10","9","8","7","6","5","5","4","3","4","140"
"Cyprus","2000","Male","Rural","12","13","12","13","14","11","10","11","10","9","8","7","6","5","4","3","4","151"
"Cyprus","2005","Male","Rural","11","13","13","14","17","13","12","11","12","11","9","8","7","6","5","4","4","168"
"Cyprus","2010","Male","Rural","11","12","12","15","16","16","14","13","12","12","11","10","8","7","6","4","5","185"
"Cyprus","2015","Male","Rural","12","12","12","14","17","15","17","16","14","13","12","11","10","8","7","5","6","199"
"Georgia","1980","Male","Rural","107","109","109","119","94","92","71","55","76","69","78","48","31","32","24","17","16","1,146"
"Georgia","1985","Male","Rural","109","105","103","102","95","102","85","65","48","74","70","74","46","24","25","16","16","1,160"
"Georgia","1990","Male","Rural","108","108","100","99","84","104","95","78","58","46","77","67","71","38","18","18","17","1,186"
"Georgia","1995","Male","Rural","92","105","97","91","81","81","91","84","66","52","44","72","59","59","28","11","16","1,129"
"Georgia","2000","Male","Rural","63","86","104","91","84","72","74","86","78","61","48","41","65","52","47","19","12","1,083"
"Georgia","2005","Male","Rural","65","63","84","92","81","74","72","67","75","71","56","47","37","60","41","32","15","1,033"
"Georgia","2010","Male","Rural","79","61","60","77","86","75","68","65","59","69","64","55","47","35","50","28","24","1,004"
"Georgia","2015","Male","Rural","74","74","57","54","71","80","70","62","58","54","62","63","55","45","29","35","27","969"
"Iraq","1980","Male","Rural","485","410","343","249","155","108","100","96","75","63","54","52","53","47","34","18","11","2,353"
"Iraq","1985","Male","Rural","487","419","352","292","161","89","124","86","77","64","55","49","47","46","33","19","13","2,414"
"Iraq","1990","Male","Rural","481","412","366","309","243","161","118","115","81","78","64","52","42","34","28","18","13","2,616"
"Iraq","1995","Male","Rural","608","504","437","377","306","243","142","87","110","75","68","54","45","38","32","24","18","3,167"
"Iraq","2000","Male","Rural","715","594","512","432","367","299","220","131","100","100","65","61","50","40","31","23","22","3,761"
"Iraq","2005","Male","Rural","787","681","575","489","408","345","277","207","126","92","91","58","54","42","30","20","20","4,305"
"Iraq","2010","Male","Rural","847","755","653","542","451","373","313","252","185","115","83","82","52","46","33","22","19","4,824"
"Iraq","2015","Male","Rural","911","819","727","624","518","436","357","298","232","173","107","77","76","45","37","24","21","5,484"
"Israel","1980","Male","Rural","30","28","24","24","19","18","16","11","10","9","8","7","5","5","4","2","2","222"
"Israel","1985","Male","Rural","27","26","26","23","18","15","17","15","10","8","8","6","5","4","4","3","2","216"
"Israel","1990","Male","Rural","27","25","26","26","18","16","16","17","14","9","8","6","5","4","3","3","3","226"
"Israel","1995","Male","Rural","28","27","28","29","22","17","17","17","17","14","9","7","6","4","4","3","3","252"
"Israel","2000","Male","Rural","30","29","28","31","24","19","17","17","16","17","13","9","6","5","4","3","4","272"
"Israel","2005","Male","Rural","32","30","28","29","24","22","18","17","17","16","15","12","8","6","5","3","4","286"
"Israel","2010","Male","Rural","34","31","28","28","25","22","22","22","19","16","15","15","12","8","5","4","5","309"
"Israel","2015","Male","Rural","35","33","29","29","24","21","21","22","21","17","15","14","12","9","5","4","6","318"
"Jordan","1980","Male","Rural","92","87","70","57","40","26","19","17","17","13","11","8","7","5","5","3","3","480"
"Jordan","1985","Male","Rural","88","80","73","60","44","31","21","17","16","13","10","8","7","5","6","5","4","488"
"Jordan","1990","Male","Rural","81","80","67","61","46","34","21","16","14","11","10","8","7","5","4","3","4","475"
"Jordan","1995","Male","Rural","75","68","67","58","53","45","32","22","17","12","11","10","8","6","4","2","3","494"
"Jordan","2000","Male","Rural","76","68","63","62","52","47","36","26","17","12","11","10","9","6","4","2","2","503"
"Jordan","2005","Male","Rural","72","67","63","58","55","47","38","29","21","15","12","9","8","7","4","3","2","508"
"Jordan","2010","Male","Rural","81","68","65","63","57","57","47","37","27","21","17","11","9","8","6","3","3","580"
"Jordan","2015","Male","Rural","85","78","65","63","62","59","55","45","34","27","23","14","10","8","7","4","3","641"
"Kuwait","1980","Male","Rural","6","5","4","3","4","4","4","3","3","2","1","1","0","0","0","0","0","41"
"Kuwait","1985","Male","Rural","3","2","2","2","2","2","2","2","1","1","1","0","0","0","0","0","0","20"
"Kuwait","1990","Male","Rural","3","3","2","2","1","2","2","2","1","1","1","1","0","0","0","0","0","22"
"Kuwait","1995","Male","Rural","2","2","1","1","1","2","2","2","1","1","1","0","0","0","0","0","0","18"
"Kuwait","2000","Male","Rural","2","2","1","1","2","3","3","2","2","1","1","1","0","1","0","0","0","21"
"Kuwait","2005","Male","Rural","2","2","2","1","2","3","3","3","2","1","1","1","0","0","0","0","0","24"
"Kuwait","2010","Male","Rural","3","2","2","2","3","4","4","3","3","2","1","1","1","0","0","0","0","31"
"Kuwait","2015","Male","Rural","3","3","2","2","2","4","5","4","2","2","1","1","1","0","0","0","0","35"
"Lebanon","1980","Male","Rural","52","47","43","38","30","24","16","13","13","13","13","10","7","8","6","3","3","339"
"Lebanon","1985","Male","Rural","40","37","33","27","22","18","15","11","10","10","10","10","9","6","5","3","2","270"
"Lebanon","1990","Male","Rural","29","28","27","23","18","16","13","10","8","9","9","9","9","7","4","3","2","224"
"Lebanon","1995","Male","Rural","28","26","25","23","20","18","15","12","10","8","9","8","8","7","5","3","2","227"
"Lebanon","2000","Male","Rural","24","24","23","22","20","19","16","14","11","9","7","8","8","7","6","3","2","223"
"Lebanon","2005","Male","Rural","24","27","28","25","22","20","17","18","19","14","10","10","10","9","7","4","3","269"
"Lebanon","2010","Male","Rural","19","24","27","27","24","22","19","17","19","19","14","11","11","10","8","5","4","280"
"Lebanon","2015","Male","Rural","23","20","23","26","28","28","25","21","18","19","20","15","11","10","9","6","6","309"
"Oman","1980","Male","Rural","64","45","36","30","25","26","27","19","12","8","5","5","4","4","3","1","1","316"
"Oman","1985","Male","Rural","72","56","40","31","24","24","24","21","14","9","6","4","4","4","3","2","1","337"
"Oman","1990","Male","Rural","62","55","43","28","24","24","23","21","16","11","7","5","4","3","2","2","1","330"
"Oman","1995","Male","Rural","49","50","45","32","22","33","32","25","19","12","9","6","5","4","2","1","1","348"
"Oman","2000","Male","Rural","44","47","46","38","33","30","26","21","15","11","6","6","5","4","3","1","1","338"
"Oman","2005","Male","Rural","43","50","52","44","32","33","27","22","19","16","12","7","7","5","4","2","2","378"
"Oman","2010","Male","Rural","43","35","37","40","52","59","34","25","20","13","12","6","8","3","5","2","3","396"
"Oman","2015","Male","Rural","51","42","34","42","85","127","93","33","16","14","10","11","7","9","5","5","3","587"
"Qatar","1980","Male","Rural","2","1","1","1","2","2","2","1","1","1","0","0","0","0","0","0","0","15"
"Qatar","1985","Male","Rural","3","2","1","1","2","4","4","3","2","1","1","0","0","0","0","0","0","24"
"Qatar","1990","Male","Rural","2","2","1","1","2","3","3","3","2","1","1","1","0","0","0","0","0","23"
"Qatar","1995","Male","Rural","1","1","1","1","1","2","2","2","2","1","1","0","0","0","0","0","0","16"
"Qatar","2000","Male","Rural","1","1","1","1","1","1","2","2","2","1","1","0","0","0","0","0","0","14"
"Qatar","2005","Male","Rural","1","1","1","1","1","2","2","2","1","1","1","1","0","0","0","0","0","14"
"Qatar","2010","Male","Rural","1","1","1","1","2","3","3","3","2","1","1","0","0","0","0","0","0","18"
"Qatar","2015","Male","Rural","1","0","0","0","1","3","3","2","1","1","1","0","0","0","0","0","0","13"
"Saudi Arabia","1980","Male","Rural","330","260","195","159","146","151","139","102","75","58","47","39","31","23","16","9","6","1,785"
"Saudi Arabia","1985","Male","Rural","348","271","213","165","154","174","177","141","91","60","46","37","31","23","16","9","6","1,962"
"Saudi Arabia","1990","Male","Rural","343","309","208","152","199","218","183","143","89","69","45","43","33","23","15","12","13","2,097"
"Saudi Arabia","1995","Male","Rural","310","290","283","177","121","212","223","170","124","67","60","37","40","27","18","9","15","2,183"
"Saudi Arabia","2000","Male","Rural","312","286","245","191","169","222","186","145","125","68","50","40","23","41","24","16","15","2,158"
"Saudi Arabia","2005","Male","Rural","298","312","272","219","188","245","235","218","189","120","97","50","45","32","32","16","14","2,582"
"Saudi Arabia","2010","Male","Rural","303","292","240","207","213","236","290","272","196","141","116","85","39","33","21","18","15","2,718"
"Saudi Arabia","2015","Male","Rural","274","293","254","214","212","257","273","309","250","164","129","103","77","30","24","12","16","2,891"
"State of Palestine","1980","Male","Rural","57","46","40","32","24","19","17","13","11","8","6","4","3","3","2","1","1","287"
"State of Palestine","1985","Male","Rural","60","50","42","36","29","21","15","15","11","9","7","5","3","3","2","1","1","310"
"State of Palestine","1990","Male","Rural","64","53","46","38","33","27","17","14","13","9","8","6","4","3","2","1","1","340"
"State of Palestine","1995","Male","Rural","79","59","51","44","36","31","23","16","13","11","9","7","5","4","2","1","1","392"
"State of Palestine","2000","Male","Rural","83","75","58","50","42","35","27","22","16","11","11","9","6","5","3","2","1","455"
"State of Palestine","2005","Male","Rural","78","75","69","53","46","39","29","24","19","13","10","10","7","6","4","2","1","486"
"State of Palestine","2010","Male","Rural","77","73","71","66","51","43","33","27","23","17","12","10","9","6","5","3","2","526"
"State of Palestine","2015","Male","Rural","80","72","70","68","63","48","37","31","26","20","16","12","8","8","5","3","2","571"
"Syrian Arab Republic","1980","Male","Rural","506","411","323","251","196","151","106","79","70","69","64","55","42","29","22","13","11","2,399"
"Syrian Arab Republic","1985","Male","Rural","567","485","390","300","233","180","144","96","76","66","66","58","52","33","25","15","12","2,797"
"Syrian Arab Republic","1990","Male","Rural","595","545","462","369","277","214","165","132","92","71","63","59","56","43","29","17","13","3,203"
"Syrian Arab Republic","1995","Male","Rural","593","574","520","443","344","260","197","157","128","87","68","57","58","48","38","20","15","3,607"
"Syrian Arab Republic","2000","Male","Rural","629","562","539","492","407","320","238","188","146","118","82","63","56","49","41","27","18","3,972"
"Syrian Arab Republic","2005","Male","Rural","612","601","539","520","458","358","262","211","170","136","112","80","65","51","48","32","25","4,279"
"Syrian Arab Republic","2010","Male","Rural","637","619","582","531","510","452","347","257","199","171","141","118","92","70","48","36","31","4,840"
"Syrian Arab Republic","2015","Male","Rural","594","585","576","533","445","417","362","285","203","174","155","128","104","78","61","34","34","4,768"
"Turkey","1980","Male","Rural","1,944","1,687","1,439","1,228","1,015","867","665","592","564","580","448","332","225","269","168","103","48","12,173"
"Turkey","1985","Male","Rural","1,770","1,614","1,369","1,097","872","795","672","526","465","469","497","398","299","199","212","110","68","11,431"
"Turkey","1990","Male","Rural","1,480","1,449","1,300","1,062","835","776","674","568","436","396","420","449","344","242","138","122","69","10,759"
"Turkey","1995","Male","Rural","1,340","1,318","1,264","1,090","875","804","712","617","511","404","386","413","423","303","183","87","81","10,810"
"Turkey","2000","Male","Rural","1,272","1,207","1,158","1,065","905","848","743","656","558","475","395","381","392","377","233","117","68","10,852"
"Turkey","2005","Male","Rural","1,146","1,131","1,046","962","870","863","770","672","584","512","459","386","359","347","287","148","78","10,621"
"Turkey","2010","Male","Rural","1,024","1,014","975","865","783","827","780","694","595","533","493","447","363","318","266","186","103","10,267"
"Turkey","2015","Male","Rural","920","912","878","809","707","746","749","705","617","546","516","484","424","326","249","179","139","9,905"
"United Arab Emirates","1980","Male","Rural","14","10","6","7","17","26","21","13","9","5","3","2","1","1","0","0","0","134"
"United Arab Emirates","1985","Male","Rural","22","17","11","7","14","26","27","19","13","7","4","2","1","1","1","0","1","173"
"United Arab Emirates","1990","Male","Rural","27","22","16","16","20","26","35","31","21","14","8","4","2","1","1","1","0","244"
"United Arab Emirates","1995","Male","Rural","27","26","24","18","28","48","46","40","32","20","11","5","3","1","1","0","0","332"
"United Arab Emirates","2000","Male","Rural","30","30","27","21","36","57","56","52","39","23","13","6","3","2","1","1","1","397"
"United Arab Emirates","2005","Male","Rural","30","27","28","27","47","85","82","61","44","28","18","9","3","2","1","0","1","493"
"United Arab Emirates","2010","Male","Rural","50","30","27","65","146","215","205","116","36","20","13","8","4","1","1","0","1","937"
"United Arab Emirates","2015","Male","Rural","57","46","27","33","74","156","212","192","95","25","13","8","6","3","1","1","1","948"
"Yemen","1980","Male","Rural","719","527","437","330","226","157","165","137","111","92","80","65","53","38","26","13","8","3,183"
"Yemen","1985","Male","Rural","915","675","498","396","286","215","144","156","127","101","86","69","58","42","29","16","9","3,821"
"Yemen","1990","Male","Rural","1,062","863","632","444","335","271","196","136","145","115","94","74","62","46","32","18","11","4,538"
"Yemen","1995","Male","Rural","1,223","1,021","817","576","354","286","248","236","197","179","149","102","96","77","61","37","34","5,694"
"Yemen","2000","Male","Rural","1,239","1,170","952","714","471","341","259","238","221","179","172","130","94","77","61","37","31","6,387"
"Yemen","2005","Male","Rural","1,265","1,189","1,085","823","574","459","310","251","223","201","174","150","122","76","61","37","30","7,028"
"Yemen","2010","Male","Rural","1,264","1,217","1,097","924","643","561","415","301","235","202","195","150","142","97","60","37","30","7,572"
"Yemen","2015","Male","Rural","1,302","1,216","1,115","918","702","634","507","408","282","212","198","169","144","113","78","37","30","8,065"
"Europe","1980","Male","Rural","8,761","9,026","9,440","9,060","8,959","8,358","7,428","5,939","6,989","6,799","7,113","5,892","3,744","4,550","3,614","2,319","1,634","109,625"
"Europe","1985","Male","Rural","8,323","8,387","8,727","8,518","8,273","8,292","7,879","6,939","5,650","7,008","6,457","6,771","5,179","3,233","3,519","2,484","1,858","107,497"
"Europe","1990","Male","Rural","7,795","8,061","8,178","7,989","7,667","7,769","8,003","7,566","6,660","5,572","6,719","6,245","6,042","4,574","2,530","2,498","2,165","106,030"
"Europe","1995","Male","Rural","6,723","7,826","7,961","7,707","7,265","7,427","8,007","8,125","7,469","6,465","5,407","6,415","5,734","5,203","3,629","1,802","2,308","105,472"
"Europe","2000","Male","Rural","5,854","6,766","7,884","7,639","6,986","6,960","7,673","8,050","7,979","7,257","6,211","5,172","5,929","5,028","4,194","2,636","2,013","104,230"
"Europe","2005","Male","Rural","5,445","5,869","6,762","7,531","6,772","6,776","7,177","7,771","8,007","7,711","6,879","5,892","4,813","5,198","4,084","3,038","2,436","102,161"
"Europe","2010","Male","Rural","5,565","5,445","5,772","6,298","6,778","6,707","6,866","7,226","7,548","7,796","7,294","6,558","5,402","4,310","4,303","3,040","3,037","99,945"
"Europe","2015","Male","Rural","5,484","5,649","5,464","5,275","5,589","6,386","6,776","7,010","7,224","7,185","7,182","6,600","5,889","4,858","3,676","3,307","3,343","96,897"
